gem-location-id,gem-phase-id,country/area,phase-name,project-name,project-name-in-local-language-/-script,other-name(s),capacity-(mw),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,operator,installation-type,region,url,owner-name-in-local-language-/-script,operator-name-in-local-language-/-script
L100000914357,G100000917795,Cyprus,--,Klavdia wind farm,,,42.0,cancelled,,,exact,,34.8924,33.4981,,Rokas Aeoliki Cyprus,Onshore,Asia,https://www.gem.wiki/Klavdia_wind_farm,,
L100000908369,G100000911066,Cyprus,--,Kosi wind farm,Αιολικό πάρκο Moglia,Moglia Koshi,11.0,operating,2012,,exact,Moglia Trading Ltd,34.9582,33.5148,South Cyprus,Aeolian Dynamics,Onshore,Asia,https://www.gem.wiki/Kosi_wind_farm,,
L100000915551,G100000919231,Cyprus,--,Orites wind farm,,Mountains Wind Park,82.0,operating,2011,,exact,Ancala Partners LLP,34.7395,32.6574,,Vestas Wind Systems,Onshore,Asia,https://www.gem.wiki/Orites_wind_farm,,
L100000908142,G100000910832,Cyprus,--,Sanida Kelaki wind farm,,,10.0,cancelled,,,exact,,34.8152,33.1693,,,Onshore,Asia,https://www.gem.wiki/Sanida_Kelaki_wind_farm,,
L100000910092,G100000912911,Czech Republic,--,Andelka wind farm,,,14.0,operating,2012,,approximate,WSB Neue Energien Holding GmbH,51.0008,14.9938,,,Onshore,Europe,https://www.gem.wiki/Andelka_wind_farm,,
L100000909728,G100000912509,Czech Republic,--,Cerveny Kopec - Rejchartice wind farm,,,14.0,operating,2012,,approximate,,49.8167,15.475,,,Onshore,Europe,https://www.gem.wiki/Cerveny_Kopec_-_Rejchartice_wind_farm,,
L100000916000,G100000919762,Czech Republic,--,Chomutov wind farm,,,210.0,cancelled,,,approximate,DeWind Co,50.4635,13.4107,,,Onshore,Europe,https://www.gem.wiki/Chomutov_wind_farm,,
L100000915674,G100000919375,Czech Republic,--,Dlouhle Pole wind farm,,,98.0,cancelled,,,approximate,,49.8167,15.475,,,Onshore,Europe,https://www.gem.wiki/Dlouhle_Pole_wind_farm,,
L100000915508,G100000919176,Czech Republic,--,Dukovany wind farm,,,78.0,cancelled,,,approximate,,49.0813,16.1922,,,Onshore,Europe,https://www.gem.wiki/Dukovany_wind_farm,,
L100000911090,G100000914029,Czech Republic,--,Horni Lodenice - Lipina wind farm,,,18.0,operating,2009,,approximate,Větrná energie HL SRO (VEHL),49.8167,15.475,,Větrná energie HL SRO (VEHL),Onshore,Europe,https://www.gem.wiki/Horni_Lodenice_-_Lipina_wind_farm,,
L100000907913,G100000910589,Czech Republic,--,Horni Paseky wind farm,,,10.0,operating,2012,,approximate,,49.8167,15.475,,APB-Plzen,Onshore,Europe,https://www.gem.wiki/Horni_Paseky_wind_farm,,
L100000910735,G100000913626,Czech Republic,2,Jindrichovice - Stara wind farm,,,16.0,operating,2019,,exact,Micronix Group,50.2711,12.6098,,Windenergie Ennenberg,Onshore,Europe,https://www.gem.wiki/Jindrichovice_-_Stara_wind_farm,,
L100000914362,G100000917800,Czech Republic,--,Krystofovy Hamry wind farm,,Pnisecnice,42.0,operating,2007,,exact,ecoenerg Windkraft GmbH & Co KG,50.4425,13.1434,Northwest,,Onshore,Europe,https://www.gem.wiki/Krystofovy_Hamry_wind_farm,,
L100000910635,G100000913520,Czech Republic,--,Rešice wind farm,,,16.0,cancelled,,,approximate,CEZ AS,49.0534,16.1715,,,Onshore,Europe,https://www.gem.wiki/Rešice_wind_farm,ČEZ AS,
