gem-location-id,gem-unit/phase-id,country/area,unit-name,plant-name,plant-name-(other),plant-name-(local),capacity-(mw),status,start-year,retired-year,location-accuracy,owner,parent,lat,lng,combustion-technology,region,url,"subnational-unit-(province,-state)"
L100000104381,G100000111972,Laos,Unit 1,Houaphanh power station,老挝华潘1×350兆瓦洁净高效电站; 华潘煤电一体化发电厂; Xam Neua power station; 华潘电站,,350.0,shelved,2026,,approximate,Electricite Du Laos [10%]; Investment and Hydro Power Consultant Sole Co Ltd [15%]; Chongwa Financial Asset Exchange Co Ltd [75%],Investment and Hydro Power Consultant Sole Co Ltd [15.0%]; Electricite Du Laos [10.0%]; Nam (Kwong) Group Co Ltd,20.3333,103.833,unknown,Asia,https://www.gem.wiki/Houaphanh_power_station,Houaphanh
L100000104381,G100000114830,Laos,Unit 2,Houaphanh power station,老挝华潘1×350兆瓦洁净高效电站; 华潘煤电一体化发电厂; Xam Neua power station; 华潘电站,,300.0,cancelled,,,approximate,Electricite Du Laos [10%]; Investment and Hydro Power Consultant Sole Co Ltd [15%]; Chongwa Financial Asset Exchange Co Ltd [75%],Investment and Hydro Power Consultant Sole Co Ltd [15.0%]; Electricite Du Laos [10.0%]; Nam (Kwong) Group Co Ltd,20.3333,103.833,unknown,Asia,https://www.gem.wiki/Houaphanh_power_station,Houaphanh
L100000104896,G100000115306,Laos,Unit 1,Nam Phan power station,老挝南潘清洁能源项目; 老挝南潘660MW清洁能源项目,ບໍລິສັດ ພົງຊັບທະວີ power station,330.0,construction,2025,,exact,Phongsupthavy Group Co Ltd [100%],Phongsupthavy Group Co Ltd [100.0%],19.42492,103.46554,supercritical,Asia,https://www.gem.wiki/Nam_Phan_power_station,Xiangkhouang
L100000104896,G100000115307,Laos,Unit 2,Nam Phan power station,老挝南潘清洁能源项目; 老挝南潘660MW清洁能源项目,ບໍລິສັດ ພົງຊັບທະວີ power station,330.0,construction,2025,,exact,Phongsupthavy Group Co Ltd [100%],Phongsupthavy Group Co Ltd [100.0%],19.42492,103.46554,supercritical,Asia,https://www.gem.wiki/Nam_Phan_power_station,Xiangkhouang
L100000104671,G100000114490,Laos,Unit 1,Phonesack Xekong power station,"Phase III (Units 4, 5, and 6), Phase II (Units 2 and 3), Phase I (Unit 1), Kaleum Coal Fired Power Plant",,300.0,permitted,2028,,approximate,Xekong Thermal Power Plant Co Ltd [100%],Phonesack Group Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/Phonesack_Xekong_power_station,Sekong
L100000104671,G100001048314,Laos,Unit 2,Phonesack Xekong power station,"Phase III (Units 4, 5, and 6), Phase II (Units 2 and 3), Phase I (Unit 1), Kaleum Coal Fired Power Plant",,300.0,permitted,2029,,approximate,Xekong Thermal Power Plant Co Ltd [100%],Phonesack Group Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/Phonesack_Xekong_power_station,Sekong
L100000104671,G100001048315,Laos,Unit 3,Phonesack Xekong power station,"Phase III (Units 4, 5, and 6), Phase II (Units 2 and 3), Phase I (Unit 1), Kaleum Coal Fired Power Plant",,300.0,permitted,2029,,approximate,Xekong Thermal Power Plant Co Ltd [100%],Phonesack Group Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/Phonesack_Xekong_power_station,Sekong
L100000104671,G100001048316,Laos,Unit 4,Phonesack Xekong power station,"Phase III (Units 4, 5, and 6), Phase II (Units 2 and 3), Phase I (Unit 1), Kaleum Coal Fired Power Plant",,300.0,permitted,2030,,approximate,Xekong Thermal Power Plant Co Ltd [100%],Phonesack Group Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/Phonesack_Xekong_power_station,Sekong
L100000104671,G100001048317,Laos,Unit 5,Phonesack Xekong power station,"Phase III (Units 4, 5, and 6), Phase II (Units 2 and 3), Phase I (Unit 1), Kaleum Coal Fired Power Plant",,300.0,permitted,2030,,approximate,Xekong Thermal Power Plant Co Ltd [100%],Phonesack Group Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/Phonesack_Xekong_power_station,Sekong
L100000104671,G100001048318,Laos,Unit 6,Phonesack Xekong power station,"Phase III (Units 4, 5, and 6), Phase II (Units 2 and 3), Phase I (Unit 1), Kaleum Coal Fired Power Plant",,300.0,permitted,2030,,approximate,Xekong Thermal Power Plant Co Ltd [100%],Phonesack Group Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/Phonesack_Xekong_power_station,Sekong
L100000104780,G100000114889,Laos,--,Sekong power station (EPIC),,,1000.0,announced,2027,,approximate,Evolution Power Investment Corp; Khounmixay Bridge and Road Construction and Repair Co,Evolution Power Investment Corp; Khounmixay Bridge and Road Construction and Repair Co,15.7166,106.65,ultra-supercritical,Asia,https://www.gem.wiki/Sekong_power_station_(EPIC),Sekong
L100000104672,G100000114493,Laos,Unit 1,TSBP Sekong power station,formerly CHMC Sekong power station,,300.0,announced,2025,,approximate,TSBP Sekong Power and Mineral Co Ltd [100%],Investment and Hydro Power Consultant Sole Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/TSBP_Sekong_power_station,Sekong
L100000104672,G100000114888,Laos,Unit 2,TSBP Sekong power station,formerly CHMC Sekong power station,,300.0,announced,2025,,approximate,TSBP Sekong Power and Mineral Co Ltd [100%],Investment and Hydro Power Consultant Sole Co Ltd,15.7166,106.65,unknown,Asia,https://www.gem.wiki/TSBP_Sekong_power_station,Sekong
L100000103008,G100000106036,Latvia,--,Kurzeme power station,,,435.0,cancelled,,,approximate,Latvenergo AS [100%],Latvenergo AS [100.0%],57.409408,21.594695,subcritical,Europe,https://www.gem.wiki/Kurzeme_power_station,Kurzeme
L100000103010,G100000100149,Madagascar,Unit 1,Ambatovy Nickel power station,,,40.0,operating,2011,,exact,Ambatovy Nickel Project JV [100%],Sumitomo Corp [54.2%]; Korea Mine Rehabilitation & Mineral Resources Corp [45.8%],-18.20196,49.35628,subcritical,Africa,https://www.gem.wiki/Ambatovy_Nickel_power_station,Toamasina
L100000103010,G100000100150,Madagascar,Unit 2,Ambatovy Nickel power station,,,40.0,operating,2011,,exact,Ambatovy Nickel Project JV [100%],Sumitomo Corp [54.2%]; Korea Mine Rehabilitation & Mineral Resources Corp [45.8%],-18.20196,49.35628,subcritical,Africa,https://www.gem.wiki/Ambatovy_Nickel_power_station,Toamasina
L100000103010,G100000100151,Madagascar,Unit 3,Ambatovy Nickel power station,,,40.0,operating,2011,,exact,Ambatovy Nickel Project JV [100%],Sumitomo Corp [54.2%]; Korea Mine Rehabilitation & Mineral Resources Corp [45.8%],-18.20196,49.35628,subcritical,Africa,https://www.gem.wiki/Ambatovy_Nickel_power_station,Toamasina
L100000103009,G100000113414,Madagascar,--,Imaloto Coal power station,,,30.0,pre-permit,,,approximate,Lemur Resources Ltd [100%],Bushveld Minerals Ltd,-23.452222,45.078056,subcritical,Africa,https://www.gem.wiki/Imaloto_Coal_power_station,Atsimo-Andrefana
L100000103012,G100000105526,Malawi,Unit 1,Kamwamba power station,Central Malawi power station,,50.0,pre-permit,2030,,approximate,Government of Malawi [85%]; China Gezhouba Group Co Ltd [15%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100000103012,G100000105527,Malawi,Unit 2,Kamwamba power station,Central Malawi power station,,50.0,pre-permit,2030,,approximate,Government of Malawi [85%]; China Gezhouba Group Co Ltd [15%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100000103012,G100000105528,Malawi,Unit 3,Kamwamba power station,Central Malawi power station,,50.0,pre-permit,2030,,approximate,Government of Malawi [85%]; China Gezhouba Group Co Ltd [15%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100000103012,G100000105529,Malawi,Unit 4,Kamwamba power station,Central Malawi power station,,50.0,pre-permit,2030,,approximate,Government of Malawi [85%]; China Gezhouba Group Co Ltd [15%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100000103012,G100000105530,Malawi,Unit 5,Kamwamba power station,Central Malawi power station,,50.0,pre-permit,2030,,approximate,Government of Malawi [85%]; China Gezhouba Group Co Ltd [15%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100000103012,G100000105531,Malawi,Unit 6,Kamwamba power station,Central Malawi power station,,50.0,pre-permit,2030,,approximate,Government of Malawi [85%]; China Gezhouba Group Co Ltd [15%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100000103012,G100000105532,Malawi,Unit 7,Kamwamba power station,Central Malawi power station,,700.0,cancelled,,,approximate,China Gezhouba Group Co Ltd [15%]; Government of Malawi [85%],Government of Malawi [85.0%]; China Energy Engineering Corp Ltd [6.7%]; HKSCC Nominees Ltd [3.0%],-14.95,34.783333,subcritical,Africa,https://www.gem.wiki/Kamwamba_power_station,Southern
L100001000081,G100001000202,Malawi,Unit 1,Liwonde power station,Liwonde Coal Fired Power Project,,350.0,announced,,,approximate,Jindal Power Ltd,Jindal Power Ltd,-15.066667,35.233333,unknown,Africa,https://www.gem.wiki/Liwonde_power_station,Southern Region
L100000103013,G100000107358,Malawi,Unit 1,Neno power station,Project DoXA,,800.0,cancelled,,,approximate,Project DoXA [100%],Project DoXA [100.0%],-16.166667,35.166667,unknown,Africa,https://www.gem.wiki/Neno_power_station,Southern
L100000103013,G100000107359,Malawi,Unit 2,Neno power station,Project DoXA,,800.0,cancelled,,,approximate,Project DoXA [100%],Project DoXA [100.0%],-16.166667,35.166667,unknown,Africa,https://www.gem.wiki/Neno_power_station,Southern
L100000103013,G100000107360,Malawi,Unit 3,Neno power station,Project DoXA,,800.0,cancelled,,,approximate,Project DoXA [100%],Project DoXA [100.0%],-16.166667,35.166667,unknown,Africa,https://www.gem.wiki/Neno_power_station,Southern
L100000103011,G100000107745,Malawi,Unit 1,Pamodzi power station,Chipoka Coal Plant,,120.0,cancelled,,,approximate,Intra Energy Corp Ltd [100%],Intra Energy Corp Ltd [100.0%],-13.966667,34.5,subcritical,Africa,https://www.gem.wiki/Pamodzi_power_station,Central
L100000104369,G100001000228,Malawi,Phase II Unit 3,Rukuru power station,"Rukuru Coal Fired Power Project, Rukuru Coal Project",,150.0,announced,,,approximate,Rukuru Power Co [100%],Mchenga Coal Mines Ltd,-11.45807,34.015131,unknown,Africa,https://www.gem.wiki/Rukuru_power_station,Northern
L100000104369,G100000113824,Malawi,Phase I Unit 1,Rukuru power station,"Rukuru Coal Fired Power Project, Rukuru Coal Project",,50.0,pre-permit,,,approximate,Rukuru Power Co [100%],Mchenga Coal Mines Ltd,-11.45807,34.015131,subcritical,Africa,https://www.gem.wiki/Rukuru_power_station,Northern
L100000104369,G100001000227,Malawi,Phase I Unit 2,Rukuru power station,"Rukuru Coal Fired Power Project, Rukuru Coal Project",,50.0,pre-permit,,,approximate,Rukuru Power Co [100%],Mchenga Coal Mines Ltd,-11.45807,34.015131,subcritical,Africa,https://www.gem.wiki/Rukuru_power_station,Northern
L100000103019,G100000100483,Malaysia,Phase II Unit 1,Balingian New power station,,,300.0,cancelled,,,exact,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.740897,112.47292,subcritical,Asia,https://www.gem.wiki/Balingian_New_power_station,Sarawak
L100000103019,G100000100481,Malaysia,Phase I Unit 1,Balingian New power station,,,300.0,operating,2019,,exact,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.740897,112.47292,CFB,Asia,https://www.gem.wiki/Balingian_New_power_station,Sarawak
L100000103019,G100000100482,Malaysia,Phase I Unit 2,Balingian New power station,,,300.0,operating,2019,,exact,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.740897,112.47292,CFB,Asia,https://www.gem.wiki/Balingian_New_power_station,Sarawak
L100000103015,G100000105181,Malaysia,Unit 1,Jimah East power station,Project 3B,,1000.0,operating,2019,,exact,Jimah East Power Sdn Bhd [100%],Tenaga Nasional Bhd [70.0%]; Chugoku Electric Power Co Inc [15.0%]; Mitsui & Co Ltd [15.0%],2.590259,101.724593,ultra-supercritical,Asia,https://www.gem.wiki/Jimah_East_power_station,Negeri Sembilan
L100000103015,G100000105182,Malaysia,Unit 2,Jimah East power station,Project 3B,,1000.0,operating,2019,,exact,Jimah East Power Sdn Bhd [100%],Tenaga Nasional Bhd [70.0%]; Chugoku Electric Power Co Inc [15.0%]; Mitsui & Co Ltd [15.0%],2.590259,101.724593,ultra-supercritical,Asia,https://www.gem.wiki/Jimah_East_power_station,Negeri Sembilan
L100000103016,G100000105183,Malaysia,Unit 1,Jimah power station,,,700.0,operating,2009,,approximate,Jimah Energy Ventures Sdn Bhd [100%],Jimah Teknik Sdn Bhd [65.0%]; Tenaga Nasional Bhd [25.0%]; Jimah O&M Sdn Bhd [10.0%],2.592342,101.731356,subcritical,Asia,https://www.gem.wiki/Jimah_power_station,Negeri Sembilan
L100000103016,G100000105184,Malaysia,Unit 2,Jimah power station,,,700.0,operating,2009,,approximate,Jimah Energy Ventures Sdn Bhd [100%],Jimah Teknik Sdn Bhd [65.0%]; Tenaga Nasional Bhd [25.0%]; Jimah O&M Sdn Bhd [10.0%],2.592342,101.731356,subcritical,Asia,https://www.gem.wiki/Jimah_power_station,Negeri Sembilan
L100000103018,G100000106103,Malaysia,Unit 1,Lahad Datu power station,,,75.0,cancelled,2011,,approximate,Sabah Electricity Sdn Bhd [100%],Tenaga Nasional Bhd [80.0%]; State of Sabah [20.0%],5.12055,119.183357,unknown,Asia,https://www.gem.wiki/Lahad_Datu_power_station,Sabah
L100000103018,G100000114168,Malaysia,Unit 2,Lahad Datu power station,,,75.0,cancelled,2011,,approximate,Sabah Electricity Sdn Bhd [100%],Tenaga Nasional Bhd [80.0%]; State of Sabah [20.0%],5.12055,119.183357,unknown,Asia,https://www.gem.wiki/Lahad_Datu_power_station,Sabah
L100000103018,G100000114169,Malaysia,Unit 3,Lahad Datu power station,,,75.0,cancelled,2011,,approximate,Sabah Electricity Sdn Bhd [100%],Tenaga Nasional Bhd [80.0%]; State of Sabah [20.0%],5.12055,119.183357,unknown,Asia,https://www.gem.wiki/Lahad_Datu_power_station,Sabah
L100000103018,G100000114170,Malaysia,Unit 4,Lahad Datu power station,,,75.0,cancelled,2011,,approximate,Sabah Electricity Sdn Bhd [100%],Tenaga Nasional Bhd [80.0%]; State of Sabah [20.0%],5.12055,119.183357,unknown,Asia,https://www.gem.wiki/Lahad_Datu_power_station,Sabah
L100000103017,G100000106629,Malaysia,Unit 1,Manjung power station,"Sultan Azlan Shah Power Plant, Janamanjung power station",,700.0,operating,2002,,exact,TNB Janamanjung Sdn Bhd [100%],Tenaga Nasional Bhd [100.0%],4.1586,100.6423,subcritical,Asia,https://www.gem.wiki/Manjung_power_station,Perak
L100000103017,G100000106630,Malaysia,Unit 2,Manjung power station,"Sultan Azlan Shah Power Plant, Janamanjung power station",,700.0,operating,2003,,exact,TNB Janamanjung Sdn Bhd [100%],Tenaga Nasional Bhd [100.0%],4.1586,100.6423,subcritical,Asia,https://www.gem.wiki/Manjung_power_station,Perak
L100000103017,G100000106631,Malaysia,Unit 3,Manjung power station,"Sultan Azlan Shah Power Plant, Janamanjung power station",,700.0,operating,2003,,exact,TNB Janamanjung Sdn Bhd [100%],Tenaga Nasional Bhd [100.0%],4.1586,100.6423,subcritical,Asia,https://www.gem.wiki/Manjung_power_station,Perak
L100000103017,G100000106632,Malaysia,Unit 4,Manjung power station,"Sultan Azlan Shah Power Plant, Janamanjung power station",,1000.0,operating,2015,,exact,TNB Janamanjung Sdn Bhd [100%],Tenaga Nasional Bhd [100.0%],4.1586,100.6423,ultra-supercritical,Asia,https://www.gem.wiki/Manjung_power_station,Perak
L100000103017,G100000106633,Malaysia,Unit 5,Manjung power station,"Sultan Azlan Shah Power Plant, Janamanjung power station",,1000.0,operating,2017,,exact,TNB Janamanjung Sdn Bhd [100%],Tenaga Nasional Bhd [100.0%],4.1586,100.6423,ultra-supercritical,Asia,https://www.gem.wiki/Manjung_power_station,Perak
L100000103020,G100000106878,Malaysia,--,Merit Pila power station,,,300.0,cancelled,,,approximate,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.016667,112.9333,subcritical,Asia,https://www.gem.wiki/Merit_Pila_power_station,Sarawak
L100000103021,G100000107089,Malaysia,Unit 1,Mukah coal power station,,,135.0,operating,2009,,exact,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.968499,112.323865,subcritical,Asia,https://www.gem.wiki/Mukah_coal_power_station,Sarawak
L100000103021,G100000107090,Malaysia,Unit 2,Mukah coal power station,,,135.0,operating,2009,,exact,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.968499,112.323865,subcritical,Asia,https://www.gem.wiki/Mukah_coal_power_station,Sarawak
L100000103022,G100000107091,Malaysia,Phase I,Mukah West power station,,,600.0,cancelled,,,approximate,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.896111,112.078611,subcritical,Asia,https://www.gem.wiki/Mukah_West_power_station,Sarawak
L100000103022,G100000107092,Malaysia,Phase II,Mukah West power station,,,600.0,cancelled,,,approximate,Sarawak Energy Bhd [100%],Sarawak Energy Bhd [100.0%],2.896111,112.078611,subcritical,Asia,https://www.gem.wiki/Mukah_West_power_station,Sarawak
L100000103023,G100000108909,Malaysia,Unit 1,Sejingkat power station,,,50.0,operating,1997,,exact,Sejingkat Power Corp Sdn Bhd [100%],Sarawak Energy Bhd,1.637733,110.465402,subcritical,Asia,https://www.gem.wiki/Sejingkat_power_station,Sarawak
L100000103023,G100000108910,Malaysia,Unit 2,Sejingkat power station,,,50.0,operating,1998,,exact,Sejingkat Power Corp Sdn Bhd [100%],Sarawak Energy Bhd,1.637733,110.465402,subcritical,Asia,https://www.gem.wiki/Sejingkat_power_station,Sarawak
L100000103023,G100000108911,Malaysia,Unit 3,Sejingkat power station,,,55.0,operating,2004,,exact,Sejingkat Power Corp Sdn Bhd [100%],Sarawak Energy Bhd,1.637733,110.465402,subcritical,Asia,https://www.gem.wiki/Sejingkat_power_station,Sarawak
L100000103023,G100000108912,Malaysia,Unit 4,Sejingkat power station,,,55.0,operating,2004,,exact,Sejingkat Power Corp Sdn Bhd [100%],Sarawak Energy Bhd,1.637733,110.465402,subcritical,Asia,https://www.gem.wiki/Sejingkat_power_station,Sarawak
L100000103024,G100000109681,Malaysia,Unit 3,Sultan Aziz power station,"KEV power station, Kapar power station",,300.0,operating,1988,,exact,Kapar Energy Ventures Sdn Bhd [100%],Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],3.117221,101.320369,subcritical,Asia,https://www.gem.wiki/Sultan_Aziz_power_station,Selangor
L100000103024,G100000109682,Malaysia,Unit 4,Sultan Aziz power station,"KEV power station, Kapar power station",,300.0,operating,1989,,exact,Kapar Energy Ventures Sdn Bhd [100%],Tenaga Nasional Bhd [60.0%]; Malakoff Corporation Bhd [40.0%],3.117221,101.320369,subcritical,Asia,https://www.gem.wiki/Sultan_Aziz_power_station,Selangor
